MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;CV;INT F;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;d_01;d_02;d_03;d_04;d_05;d_06;d_07;d_08;d_09;X
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_BLIZZARD;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-45;-45;0;-99;-99;0;0;0;0;0;0;0;0;-85;-85;-85;-85;-85;-85;-45;0;-99;X
ATT_SNOW;-40;-40;-40;-40;-40;-40;-40;-40;-30;-40;-40;-40;-50;-50;-50;-50;-50;-50;0;0;0;-50;-50;-50;-50;-50;-50;-50;-20;-20;0;-50;-50;0;0;0;0;0;0;0;0;-30;-40;-40;-40;-30;-30;-10;0;-50;X
ATT_FROZEN;-25;-25;-25;-50;-50;-40;-25;-25;-15;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-25;-50;-40;-15;-15;0;0;0;X
ATT_RAIN;-20;-20;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-30;-30;-30;-30;-30;-30;0;0;0;-20;-20;-20;-20;-20;-20;-20;0;0;0;-20;-30;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;-20;-20;0;-30;X
ATT_STORM;-65;-65;-65;-65;-65;-65;-65;-85;-65;-65;-65;-65;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-45;-45;0;-99;-99;0;0;0;0;0;0;0;0;-65;-65;-65;-65;-65;-65;-65;0;-99;X
ATT_MUDDY;-20;-65;-65;-65;-65;-65;-15;-15;-15;-20;-20;-20;35;35;0;15;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;-15;-65;-65;-65;-15;-15;-20;0;0;X
ATT_NIGHT;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-95;-95;-90;-90;-95;-90;-90;0;0;-50;-50;-50;-50;-50;-80;-80;15;15;-50;-80;-95;0;0;0;0;0;0;0;0;-90;-90;-90;-90;-90;-70;-90;0;-95;X
ATT_PLAIN;0;0;0;0;0;0;0;0;0;0;0;-15;10;10;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_DESERT;-70;-30;-35;-30;-30;-15;-65;-70;-70;-70;-70;-50;10;10;0;10;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;-70;-35;-30;-15;-70;-70;-70;0;0;X
ATT_MOUNTAIN;-40;-50;-60;-60;-60;-70;-40;-40;-30;-40;-50;-30;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;-30;-60;-60;-70;-10;-10;-40;0;-50;X
ATT_HILL;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-20;-15;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;-20;-20;-20;-30;0;0;-20;0;-20;X
ATT_FOREST;-25;-35;-30;-35;-35;-40;-25;-25;-25;-25;-30;-15;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;0;-25;-30;-35;-40;-25;-5;-25;0;-30;X
ATT_JUNGLE;-70;-75;-75;-70;-75;-80;-65;-60;-70;-70;-70;-40;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;-70;-75;-70;-80;-50;-70;-70;0;-50;X
ATT_SWAMP;-60;-65;-65;-65;-65;-70;-55;-50;-60;-60;-60;-30;35;35;0;15;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;-60;-65;-65;-70;-40;-60;-60;0;0;X
ATT_URBAN;-30;-30;-30;-30;-30;-35;-30;-30;-30;-30;-30;-15;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;-10;-10;-10;-15;-30;-30;-30;0;-50;X
ATT_RIVER;-30;-30;-30;-30;-30;-30;-25;-10;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;0;0;X
ATT_SHORE;-67;-75;-67;-67;-67;-67;-67;-43;-67;-67;-67;-67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-67;-67;-67;-67;-67;-67;-67;0;0;X
ATT_FORT;-30;-40;-40;-40;-40;-40;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-30;-15;0;-20;-20;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;-20;-40;-40;-40;-20;-20;-30;0;-30;X
DEF_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_BLIZZARD;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-45;-45;0;-99;-99;0;0;0;0;0;0;0;0;-85;-85;-85;-85;-85;-85;-45;0;-99;X
DEF_SNOW;-40;-40;-40;-40;-40;-25;-40;-40;-30;-40;-40;-40;-50;-50;-50;-50;-50;-50;0;0;0;-50;-50;-50;-50;-50;-50;-50;-20;-20;0;-50;-50;0;0;0;0;0;0;0;0;-30;-40;-40;-25;-30;-30;-10;0;-50;X
DEF_FROZEN;-25;-25;-25;-50;-50;-50;-25;-25;-15;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-25;-50;-50;-15;-15;0;0;0;X
DEF_RAIN;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-30;-30;-30;-30;-30;-30;0;0;0;-20;-20;-20;-20;-20;-20;-20;0;0;0;-20;-30;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;-20;-20;0;-30;X
DEF_STORM;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-45;-45;0;-99;-99;0;0;0;0;0;0;0;0;-65;-65;-65;-65;-65;-65;-65;0;-99;X
DEF_MUDDY;0;-56;-56;-56;-56;-56;0;0;0;0;0;0;35;35;0;15;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;-56;-56;-56;0;0;0;0;0;X
DEF_NIGHT;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-50;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;15;15;0;0;-50;0;0;0;0;0;0;0;0;-90;-90;-90;-90;-90;-70;-90;0;-50;X
DEF_PLAIN;5;5;5;5;5;5;5;5;5;5;5;-10;10;10;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;0;0;X
DEF_DESERT;-65;-25;-30;-22;-18;0;-59;-65;-65;-65;-65;-41;10;10;0;10;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;-65;-30;-22;0;-65;-65;-65;0;0;X
DEF_MOUNTAIN;-20;-25;-30;-30;-30;-35;-20;-20;-15;-20;-25;-15;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;-15;-30;-30;-35;5;5;-20;0;-50;X
DEF_HILL;4;4;4;4;-3;-13;4;4;4;4;4;10;-20;-20;-20;-20;-20;-20;0;0;0;;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;4;4;4;-13;24;24;4;0;-20;X
DEF_FOREST;-7;-12;-9;-12;-12;-14;-7;-7;-7;-7;-9;10;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;0;-7;-9;-12;-14;17;-7;-7;0;-30;X
DEF_JUNGLE;-58;-65;-65;-54;-65;-72;-51;-46;-58;-58;-58;-16;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;-58;-65;-54;-72;-38;-58;-58;0;-50;X
DEF_SWAMP;-48;-55;-55;-55;-55;-61;-41;-35;-48;-48;-48;-9;35;35;0;15;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;-48;-55;-55;-61;-28;-48;-48;0;0;X
DEF_URBAN;-2;-2;-2;-2;-6;-16;-2;-2;-2;-2;-2;10;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;8;8;8;-6;-2;-2;-2;0;-50;X
MOV_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_BLIZZARD;-80;-70;-90;-90;-90;-90;-90;-80;-60;-80;-70;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;0;0;-80;-80;-80;0;0;0;0;0;0;0;0;-60;-90;-90;-90;-60;-60;-80;0;-80;X
MOV_SNOW;-40;-40;-40;-35;-40;-35;-40;-40;-10;-25;-25;-25;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;0;0;-40;-40;-40;0;0;0;0;0;0;0;0;-10;-40;-35;-35;-10;-10;-40;0;-40;X
MOV_FROZEN;-25;-30;-10;0;0;0;-25;-25;25;-25;-25;-25;0;0;0;0;0;0;0;0;0;-80;-90;-80;-80;-90;-80;-90;0;0;-90;-80;0;0;0;0;0;0;0;0;0;25;-10;0;0;25;25;-25;0;0;X
MOV_RAIN;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;-30;-30;-30;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;0;-30;X
MOV_STORM;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;0;0;-70;-70;-70;0;0;0;0;0;0;0;0;-70;-70;-70;-70;-70;-70;-70;0;-70;X
MOV_MUDDY;-60;-75;-93;-92;-92;-92;-50;-50;-50;-50;-50;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;-93;-92;-92;-50;-50;-60;0;0;X
MOV_NIGHT;-98;-98;-70;-70;-70;-70;-95;-95;-95;-95;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-95;-70;-70;-70;-95;-95;-98;0;0;X
MOV_PLAIN;5;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;5;5;0;0;X
MOV_DESERT;-5;0;-50;10;10;10;-5;-5;-5;-5;-5;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-50;10;10;-5;-5;-5;0;0;X
MOV_MOUNTAIN;-50;-60;-80;-80;-80;-80;-50;-50;-30;-50;-50;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-80;-80;-80;-30;-30;-50;0;0;X
MOV_HILL;-20;-20;-30;-30;-30;-20;-20;-20;-15;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-30;-30;-20;-15;-15;-20;0;0;X
MOV_FOREST;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-40;-40;-40;-40;-40;-40;-40;0;0;X
MOV_JUNGLE;-70;-90;-93;-92;-92;-92;-70;-60;-70;-70;-70;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;-93;-92;-92;-70;-70;-70;0;0;X
MOV_SWAMP;-60;-70;-80;-70;-70;-70;-60;-55;-60;-60;-60;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-60;-80;-70;-70;-60;-60;-60;0;0;X
MOV_URBAN;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
